pattern,pattern_label,benchmark,benchmark_label,quality_score,total_tokens,token_efficiency,num_agents,num_rounds,wall_time_seconds,model,experiment_id,filename
baseline_single,SingleAgent (baseline),code_review,Code Review,92.0,3185,28.89,1,1,38.0,claude-opus-4-6,26821efd,baseline_single_code_review_20260212_142150.json
baseline_single,SingleAgent (baseline),research_synthesis,Research Synthesis,50.0,4055,12.33,1,1,69.1,claude-opus-4-6,5b3744a4,baseline_single_research_synthesis_20260212_142514.json
baseline_single,SingleAgent (baseline),planning,Planning,50.0,8417,5.94,1,1,714.2,claude-opus-4-6,ecb4b0d9,baseline_single_planning_20260212_143553.json
baseline_single,SingleAgent (baseline),cascading_failure,Cascading Failure V1,82.0,8520,9.62,1,1,131.7,claude-opus-4-6,b0a5e689,baseline_single_cascading_failure_20260212_145604.json
baseline_single,SingleAgent (baseline),cascading_failure_v2,Cascading Failure V2,62.0,8705,7.12,1,1,146.0,claude-opus-4-6,59dd7df0,baseline_single_cascading_failure_v2_20260212_150827.json
baseline_naive,NaiveMultiAgent (baseline),code_review,Code Review,92.0,5644,16.3,3,1,69.0,claude-opus-4-6,19cd4b85,baseline_naive_code_review_20260212_142150.json
baseline_naive,NaiveMultiAgent (baseline),research_synthesis,Research Synthesis,50.0,11445,4.37,3,1,213.6,claude-opus-4-6,57a42cee,baseline_naive_research_synthesis_20260212_142514.json
baseline_naive,NaiveMultiAgent (baseline),planning,Planning,72.0,12975,5.55,3,1,182.1,claude-opus-4-6,98c1e02b,baseline_naive_planning_20260212_143553.json
baseline_naive,NaiveMultiAgent (baseline),cascading_failure,Cascading Failure V1,72.0,13281,5.42,3,1,208.4,claude-opus-4-6,fd4890a7,baseline_naive_cascading_failure_20260212_145721.json
baseline_naive,NaiveMultiAgent (baseline),cascading_failure_v2,Cascading Failure V2,62.0,13835,4.48,3,1,230.2,claude-opus-4-6,350cca18,baseline_naive_cascading_failure_v2_20260212_150951.json
blackboard,Blackboard V1 (static),code_review,Code Review,62.0,26869,2.31,3,3,181.2,claude-opus-4-6,e2f7c530,blackboard_code_review_20260212_135422.json
blackboard,Blackboard V1 (static),research_synthesis,Research Synthesis,50.0,27895,1.79,3,3,214.8,claude-opus-4-6,8e285b50,blackboard_research_synthesis_20260212_142514.json
blackboard,Blackboard V1 (static),planning,Planning,50.0,30249,1.65,3,3,223.6,claude-opus-4-6,186889c2,blackboard_planning_20260212_143553.json
blackboard,Blackboard V1 (static),cascading_failure,Cascading Failure V1,72.0,28571,2.52,3,3,220.4,claude-opus-4-6,e0654737,blackboard_cascading_failure_20260212_180328.json
blackboard,Blackboard V1 (static),cascading_failure_v2,Cascading Failure V2,72.0,33706,2.14,3,3,221.6,claude-opus-4-6,a1c88602,blackboard_cascading_failure_v2_20260212_180329.json
blackboard_v2,Blackboard V2 (LLM shell),code_review,Code Review,95.0,13361,7.11,3,4,112.0,claude-opus-4-6,95b99163,blackboard_v2_code_review_20260212_142150.json
blackboard_v2,Blackboard V2 (LLM shell),research_synthesis,Research Synthesis,88.0,12079,7.29,3,4,123.4,claude-opus-4-6,3629827e,blackboard_v2_research_synthesis_20260212_180129.json
blackboard_v2,Blackboard V2 (LLM shell),planning,Planning,72.0,15237,4.73,3,4,177.5,claude-opus-4-6,36eee0bb,blackboard_v2_planning_20260212_180234.json
blackboard_v2,Blackboard V2 (LLM shell),cascading_failure,Cascading Failure V1,82.0,13882,5.91,3,4,174.7,claude-opus-4-6,a822a5b9,blackboard_v2_cascading_failure_20260212_145648.json
