% Google Trends data (relative interest 0-100)
% Columns: year  mas  agentic  intelligent
% Aggregated to quarterly averages for clean rendering
% Source: search-query-trends.csv (monthly, 2004-2026)
2004.00  3.5  0  3.5
2004.25  3.3  0  3.3
2004.50  3.0  0  2.7
2004.75  2.7  0  2.7
2005.00  2.7  0  2.0
2005.25  2.3  0  2.0
2005.50  1.7  0  1.7
2005.75  2.0  0  2.0
2006.00  2.0  0  1.3
2006.25  1.7  0  1.0
2006.50  1.0  0  1.0
2006.75  1.7  0  1.0
2007.00  1.0  0  1.0
2007.25  1.3  0  1.0
2007.50  1.0  0  1.0
2007.75  1.0  0  1.0
2008.00  1.0  0  1.0
2008.25  1.0  0  1.0
2008.50  1.0  0  1.0
2008.75  0.7  0  0.7
2009.00  1.0  0  1.0
2009.25  1.0  0  0.7
2009.50  1.0  0  1.0
2009.75  1.0  0  1.0
2010.00  1.0  0  0.7
2010.25  1.0  0  0.3
2010.50  1.0  0  0.0
2010.75  1.0  0  0.0
2011.00  0.7  0  0.0
2011.25  0.3  0  0.0
2011.50  0.7  0  0.3
2011.75  1.0  0  0.3
2012.00  1.0  0  0.0
2012.25  0.3  0  0.0
2012.50  0.3  0  0.0
2012.75  0.7  0  0.0
2013.00  0.0  0  0.0
2013.25  0.0  0  0.0
2013.50  0.0  0  0.0
2013.75  0.0  0  0.0
2014.00  0.0  0  0.0
2014.25  0.0  0  0.0
2014.50  0.0  0  0.0
2014.75  0.0  0  0.0
2015.00  0.0  0  0.0
2015.25  0.0  0  0.0
2015.50  0.0  0  0.0
2015.75  0.0  0  0.0
2016.00  0.0  0  0.0
2016.25  0.0  0  0.0
2016.50  0.0  0  0.0
2016.75  0.0  0  0.0
2017.00  0.0  0  0.0
2017.25  0.0  0  0.0
2017.50  0.0  0  0.0
2017.75  0.0  0  0.0
2018.00  0.0  0  0.0
2018.25  0.0  0  0.0
2018.50  0.0  0  0.0
2018.75  0.0  0  0.0
2019.00  0.0  0  0.0
2019.25  0.0  0  0.0
2019.50  0.0  0  0.0
2019.75  0.0  0  0.0
2020.00  0.0  0  0.3
2020.25  0.0  0  0.0
2020.50  0.0  0  0.3
2020.75  0.0  0  0.3
2021.00  0.0  0  0.7
2021.25  0.0  0  0.7
2021.50  0.0  0  0.0
2021.75  0.0  0  0.7
2022.00  0.7  0  1.0
2022.25  0.3  0  1.0
2022.50  0.0  0  1.0
2022.75  0.3  0  1.0
2023.00  0.7  0  1.0
2023.25  1.0  0  1.0
2023.50  0.3  0  1.0
2023.75  1.0  0  1.0
2024.00  1.0  0  1.0
2024.25  1.0  0  1.3
2024.50  1.0  0  1.7
2024.75  1.0  0.7  3.0
2025.00  1.7  3.7  15.0
2025.25  2.0  5.0  21.3
2025.50  5.0  11.7  58.7
2025.75  9.0  18.3  87.0
2026.00  7.5  13.5  64.5
